,start station id,tripduration,Total_trip_duration,average_trip_duration,latitude,longitude,zipcodes
0,72,34550,47548965,1376.236324167873,40.76727215212272,-73.99392891100202,10019
1,79,19560,25218725,1289.3008691206544,40.71911550228221,-74.00666666113344,10013
2,82,12009,13147793,1094.8282954450829,40.71117406222666,-74.00016551949372,10038
3,83,18797,28022697,1490.8068840772464,40.68382604,-73.97632328,11217
4,116,44608,46245054,1036.6986639167862,40.74177605743834,-74.00149744884818,10011
5,119,5621,8294977,1475.7119729585484,40.69608941,-73.97803415,11205
6,120,13428,17834948,1328.190944295502,40.68676793,-73.95928168,11238
7,127,47623,54431840,1142.9737731768264,40.73172428,-74.00674436,10014
8,128,51908,63537877,1224.0478731602066,40.72710258,-74.00297088,10014
9,143,16129,17501252,1085.0797941595883,40.69239494652613,-73.99337883348875,11201
10,144,12733,20610068,1618.6341003691196,40.69839895,-73.98068914,11201
11,146,22957,28599395,1245.7810253953044,40.71625006910659,-74.00910593894672,10013
12,150,33556,37663212,1122.3987364405768,40.720873667135535,-73.98085789886458,
13,151,65473,81668779,1247.3657690956577,40.722103785100856,-73.9972490186953,10012
14,152,2301,2685181,1166.9626249456758,40.71473993,-74.00910627,10007
15,157,18565,22889152,1232.919579854565,40.69089272,-73.99612349,11201
16,161,39595,44762582,1130.5109736077789,40.7291702204445,-73.99810230741608,10012
17,164,27661,29902576,1081.037417302339,40.75323097999999,-73.97032517,10017
18,167,26934,26999580,1002.4348407217644,40.74890060369051,-73.97604885531523,10016
19,168,28405,24504910,862.6970603766943,40.73971301,-73.99456405,10011
20,173,46299,62768325,1355.716646147865,40.76068328464782,-73.98452735348476,10019
21,174,36098,36390811,1008.1115574270044,40.7381764022245,-73.97738658786915,10010
22,195,22779,27876962,1223.8009570218182,40.70905623,-74.01043382,10005
23,212,31006,32720523,1055.2964910017415,40.74334935,-74.00681753,10011
24,216,10483,16276941,1552.698750357722,40.70037867,-73.99548059,11201
25,217,38010,77838376,2047.8394106814,40.70277159,-73.99383605,11201
26,223,38663,35719169,923.8592194087372,40.73781509,-73.99994661,10011
27,224,22855,32891337,1439.1309122730256,40.71146364,-74.00552427,10038
28,228,22101,23543667,1065.2760961042486,40.7546011026,-73.971878855,10017
29,229,44499,41156032,924.8754354030428,40.72743423,-73.99379025,10003
30,232,496,531292,1071.1532258064517,40.69597683,-73.99014892,11201
31,236,48021,51732039,1077.2795027175612,40.72841859128298,-73.98713953626955,10003
32,237,51274,53621495,1045.783340484456,40.73047309,-73.98672378,10003
33,238,36031,43361587,1203.4522216979824,40.736196722294686,-74.00859210907552,10014
34,239,17947,26100067,1454.2857859252242,40.69196566191341,-73.9813017274642,11201
35,241,22744,28778082,1265.304344002814,40.68981035,-73.97493121,11217
36,242,8539,10096328,1182.3782644337743,40.697787024944375,-73.97373603091698,11205
37,243,539,379136,703.4063079777366,40.68841,-73.979458,11217
38,244,13152,13012085,989.3616940389294,40.69196035,-73.96536851,11205
39,245,11250,19228128,1709.1669333333334,40.69327006709511,-73.97703873655644,11205
40,247,39672,42118281,1061.662658802178,40.73535398,-74.00483091,10014
41,248,9158,12716967,1388.618366455558,40.72185379,-74.00771779,10013
42,249,12197,14606268,1197.529556448307,40.71870989378699,-74.00900098191359,10013
43,250,46985,50522706,1075.2943705437906,40.72456089,-73.99565293,10012
44,251,52023,57912025,1113.2004113565154,40.72317958,-73.99480012,10012
45,252,33204,39272468,1182.763161064932,40.73226398,-73.99852205,10011
46,254,33427,34733588,1039.0878032728035,40.73532427,-73.99800419,10011
47,257,30524,35834005,1173.9616367448566,40.71939224714912,-74.00247209177105,10013
48,258,18749,20810807,1109.968905008267,40.68940747,-73.96885458,11205
49,259,30827,50118459,1625.7974827261817,40.70122127282188,-74.01234220133908,10004
50,260,13774,22710987,1648.8301873094235,40.70365184527805,-74.0116780659801,10004
51,261,14962,21328817,1425.532482288464,40.69474881,-73.98362464,11201
52,262,15540,17271322,1111.410682110682,40.6917823,-73.9737299,11205
53,264,22790,33517747,1470.7216761737604,40.70706456,-74.00731853,10005
54,265,36245,42567896,1174.4487791419506,40.72229346,-73.99147535,10002
55,266,642,746304,1162.4672897196265,40.72368361,-73.97574813,10009
56,267,23169,31378285,1354.3219387975312,40.75097711,-73.98765428,10018
57,268,31042,34509646,1111.7082017911216,40.71910536660557,-73.99973341080376,10013
58,270,14167,13087140,923.7763817321944,40.69308257,-73.97178913,11205
59,274,21312,26676282,1251.7024211711712,40.68691852068553,-73.9766820447635,11217
60,275,11279,18488877,1639.2301622484265,40.68650065,-73.96563307,11238
61,276,16439,20747079,1262.0645416387858,40.71748752,-74.0104554,10013
62,278,10886,14808269,1360.3039683997797,40.69766567071468,-73.98476448350632,11201
63,279,1212,1266214,1044.7310231023102,40.707873,-74.00167,10038
64,280,27918,30394563,1088.708467655276,40.73331971873773,-73.99510131274161,10003
65,281,51290,81299030,1585.0853967635016,40.7643971,-73.97371465,
66,282,25299,38817251,1534.3393414759478,40.70764491868283,-73.96841524390085,11249
67,284,64152,67880547,1058.1205106621774,40.73901695807306,-74.0026376740107,10011
68,285,74733,78459865,1049.8690672126102,40.73454566269841,-73.99074143684103,10003
69,289,10235,12597371,1230.8129946262825,40.6845683,-73.95881081,11238
70,291,20263,24683972,1218.1795390613431,40.713126,-73.984844,10002
71,293,58542,57576633,983.5098390898842,40.73020660529954,-73.99102628231049,10003
72,295,27965,27296154,976.0827462900054,40.71406667,-73.99293911,10002
73,296,598,551277,921.8678929765888,40.71413089,-73.9970468,10002
