,end station id,tripduration,Total_trip_duration,average_trip_duration,latitude,longitude,zipcodes
0,72,34532,48778218,1412.551198887988,40.767272152118615,-73.99392891101819,10019
1,79,19981,25747489,1288.5986186877533,40.71911550843701,-74.00666664337069,10013
2,82,12170,18485345,1518.9272801972063,40.71117406352013,-74.00016551857436,10038
3,83,19257,30368746,1577.0237316300563,40.68382604,-73.97632328,11217
4,116,44770,40148951,896.7824659370114,40.74177605733906,-74.00149744888854,10011
5,119,5724,8280812,1446.6827393431167,40.69608941,-73.97803415,11205
6,120,13303,14755574,1109.1914605728032,40.68676793,-73.95928168,11238
7,127,47755,52392845,1097.1174746099884,40.73172428,-74.00674436,10014
8,128,53395,58374320,1093.2544245715892,40.72710258,-74.00297088,10014
9,143,16268,15057603,925.59644701254,40.69239494715392,-73.99337883568047,11201
10,144,14479,20701511,1429.7611022860694,40.69839895,-73.98068914,11201
11,146,23032,28293379,1228.4377822160473,40.71625006914206,-74.0091059388199,10013
12,150,32428,41799639,1288.9983656099666,40.72087366947082,-73.98085789708585,
13,151,66636,72532043,1088.4813464193528,40.72210378512852,-73.99724901849511,10012
14,152,2340,2691808,1150.3452991452991,40.71473993,-74.00910627,10007
15,157,18649,20862151,1118.673977156952,40.69089272,-73.99612349,11201
16,161,41401,43818164,1058.3841936185115,40.729170221733774,-73.9981023075288,10012
17,164,27217,28448947,1045.2638791931513,40.75323098,-73.97032517,10017
18,167,26413,27342122,1035.1766932949683,40.748900603763296,-73.97604885601181,10016
19,168,29072,24758126,851.6141304347826,40.73971301,-73.99456405,10011
20,173,43088,51904640,1204.6193835870777,40.76068328566742,-73.98452735822565,10019
21,174,35672,34881097,977.8284649024444,40.73817640105685,-73.97738658748543,10010
22,195,22669,33202208,1464.6525210640082,40.70905623,-74.01043382,10005
23,212,31230,36559149,1170.6419788664746,40.74334935,-74.00681753,10011
24,216,10492,14691448,1400.252382767823,40.70037867,-73.99548059,11201
25,217,39439,72400702,1835.7641420928524,40.70277159,-73.99383605,11201
26,223,39050,35451833,907.8574391805378,40.73781509,-73.99994661,10011
27,224,22750,29135340,1280.6742857142858,40.71146364,-74.00552427,10038
28,228,21461,21764821,1014.1568892409488,40.7546011026,-73.971878855,10017
29,229,45199,40373793,893.2452709130733,40.72743423,-73.99379025,10003
30,232,485,832397,1716.2824742268042,40.69597683,-73.99014892,11201
31,236,49354,55274589,1119.96168496981,40.72841859151842,-73.98713953691049,10003
32,237,51637,54377168,1053.0659798206711,40.73047309,-73.98672378,10003
33,238,36259,42621891,1175.4844590308612,40.7361967221545,-74.0085921088298,10014
34,239,18027,21829783,1210.94929827481,40.69196566190492,-73.9813017277861,11201
35,241,22983,24481256,1065.1897489448722,40.68981035,-73.97493121,11217
36,242,8740,11101363,1270.178832951945,40.69778702437071,-73.97373603020596,11205
37,243,549,483590,880.856102003643,40.68841,-73.979458,11217
38,244,12814,13195390,1029.763539878258,40.69196035,-73.96536851,11205
39,245,11313,18151836,1604.5112702201009,40.69327006772386,-73.97703873657562,11205
40,247,40993,47101755,1149.0194667382236,40.73535398,-74.00483091,10014
41,248,9260,12307318,1329.0840172786177,40.72185379,-74.00771779,10013
42,249,12384,14697032,1186.7758397932816,40.71870989342781,-74.00900098067669,10013
43,250,47276,51409871,1087.441217531094,40.72456089,-73.99565293,10012
44,251,52531,56896058,1083.0948963469189,40.72317958,-73.99480012,10012
45,252,33980,36543651,1075.4458799293702,40.73226398,-73.99852205,10011
46,254,33373,30423007,911.6053995745064,40.73532427,-73.99800419,10011
47,257,32016,39203826,1224.5073088455772,40.719392247748,-74.00247209401861,10013
48,258,18071,22397373,1239.4097172264956,40.68940747,-73.96885458,11205
49,259,31685,57596483,1817.7839040555468,40.70122127301625,-74.01234220076124,10004
50,260,13823,19949470,1443.2084207480286,40.703651845188446,-74.01167806563987,10004
51,261,15013,24867218,1656.3790048624526,40.69474881,-73.98362464,11201
52,262,15246,17994998,1180.309458218549,40.6917823,-73.9737299,11205
53,264,22979,31341611,1363.9240610992645,40.70706456,-74.00731853,10005
54,265,38443,46337508,1205.3561896834274,40.72229346,-73.99147535,10002
55,266,602,495221,822.626245847176,40.72368361,-73.97574813,10009
56,267,23098,32356188,1400.822062516235,40.75097711,-73.98765428,10018
57,268,31262,34015983,1088.09362804683,40.71910536662946,-73.9997334105166,10013
58,270,14138,15693500,1110.0226340359316,40.69308257,-73.97178913,11205
59,274,21510,29550045,1373.7817294281729,40.686918521875874,-73.97668204435146,11217
60,275,11333,12896327,1137.9446748433777,40.68650065,-73.96563307,11238
61,276,16557,18992726,1147.1115540254875,40.71748752,-74.0104554,10013
62,278,10973,14733580,1342.7121115465234,40.69766567047115,-73.9847644826064,11201
63,279,1286,1202315,934.9261275272162,40.707873,-74.00167,10038
64,280,28433,28529210,1003.3837442408468,40.73331971785496,-73.99510131287308,10003
65,281,50959,70800437,1389.36079985871,40.7643971,-73.97371465,
66,282,25497,34494209,1352.8732399890182,40.7076449188808,-73.96841524402831,11249
67,284,65419,64599007,987.465522248888,40.73901695718268,-74.0026376727768,10011
68,285,74818,79502617,1062.6135020984254,40.7345456627067,-73.99074143682189,10003
69,289,10219,12545031,1227.6182601037283,40.6845683,-73.95881081,11238
70,291,20292,26580096,1309.8805440567712,40.713126,-73.984844,10002
71,293,60652,54895412,905.0882411132362,40.73020660529954,-73.99102628231049,10003
72,295,28034,29904701,1066.729721053007,40.71406667,-73.99293911,10002
73,296,666,470680,706.7267267267267,40.71413089,-73.9970468,10002
